theta,uvel,tke,vert_heights,brunt,tke_250,tke_1000
295.06,11.934,0.70713,0,0.0209358,0.4335,0.011843704
295.11,11.954,0.69520356,19.03,0.0219358,0.529846811,0.015218704
295.31,11.944,0.67333356,38.06,0.0209358,0.78892326,0.067615232
295.51,11.914,0.64417356,57.1,0.0239358,0.832257435,0.087329185
295.71,11.694,0.57287835,76.13,0.0219358,0.814711841,0.090896591
295.96,11.582,0.52886387,95.16,0.0228405,0.77046,0.088103788
296.15,11.311,0.4718817,114.19,0.0226871,0.709737095,0.082037809
296.31,11.06,0.4416282,133.23,0.0216006,0.643718556,0.074406502
296.46,10.817,0.41406471,152.26,0.0216687,0.58186418,0.066672093
296.61,10.578,0.38784258,171.29,0.0212206,0.526499658,0.060004884
296.75,10.351,0.36359604,190.32,0.0206217,0.479021908,0.054549894
296.88,10.136,0.34127406,209.35,0.0204586,0.439103416,0.05000407
297.01,9.933,0.32071626,228.39,0.0203493,0.405326232,0.046157603
297.14,9.74,0.30140505,247.42,0.0203332,0.376374358,0.042860631
297.42,9.318,0.28300509,266.45,0.0197381,0.351282734,0.040003256
297.68,8.928,0.26538516,285.48,0.0172325,0.329327563,0.037503052
297.91,8.559,0.25052085,304.51,0.0148906,0.309955354,0.03529699
298.14,8.209,0.23785812,323.55,0.0145741,0.292735612,0.033336047
298.34,7.877,0.22695957,342.58,0.0144692,0.277328477,0.031581518
298.54,7.565,0.21748986,361.61,0.0144663,0.263462053,0.030002442
298.72,7.265,0.20920842,380.64,0.0132543,0.250916241,0.028573754
298.89,6.973,0.2020788,399.67,0.0112494,0.239510957,0.027274947
299.03,6.685,0.19607184,418.71,0.010448,0.229097437,0.02608908
299.17,6.4,0.19102716,437.74,0.0103589,0.219551711,0.025002035
299.28,6.12,0.18682083,456.77,0.0103559,0.210769644,0.024001965
299.38,5.843,0.18333621,475.8,0.00993061,0.20266312,0.023078851
299.46,5.567,0.18044937,494.83,0.00895468,0.195157263,0.022225399
299.54,5.295,0.17800722,513.87,0.00865851,0.188187362,0.0216656
